rx,ry,rz,tx,ty,tz
-0.007558,-0.044441,-0.056022,0.002389,-0.017345,0.007917
-0.007355,-0.045142,-0.055044,0.002622,-0.017145,0.007935
-0.006874,-0.045057,-0.052831,0.002443,-0.016808,0.007962
-0.005950,-0.044493,-0.049581,0.002211,-0.016052,0.007918
-0.004563,-0.043519,-0.045465,0.002025,-0.014873,0.007093
-0.003306,-0.042171,-0.040675,0.001923,-0.013966,0.005816
-0.001369,-0.040275,-0.034984,0.001655,-0.012445,0.004793
0.000882,-0.037717,-0.028709,0.000991,-0.010708,0.003512
0.002868,-0.035252,-0.021897,0.000724,-0.009384,0.002297
0.005587,-0.032541,-0.014911,0.000335,-0.007391,0.001240
0.007833,-0.029383,-0.007584,-0.000318,-0.006151,0.000263
0.011299,-0.026214,-0.000668,-0.000829,-0.003771,-0.000685
0.014169,-0.022822,0.006332,-0.001387,-0.002279,-0.002028
0.017547,-0.019307,0.012994,-0.001950,-0.000497,-0.003228
0.020969,-0.015836,0.019126,-0.002493,0.001097,-0.003874
0.024195,-0.012448,0.025007,-0.002902,0.002265,-0.004740
0.027726,-0.009088,0.030027,-0.003419,0.003688,-0.005459
0.030567,-0.006010,0.034376,-0.003797,0.004298,-0.006129
0.034025,-0.003274,0.037838,-0.004040,0.005547,-0.006560
0.036644,-0.000992,0.040334,-0.004121,0.005893,-0.006731
0.039123,0.000984,0.042066,-0.004260,0.006169,-0.006896
0.041250,0.002389,0.042795,-0.004262,0.006278,-0.006997
0.042593,0.002991,0.042467,-0.003882,0.005811,-0.006929
0.043969,0.003112,0.041219,-0.003555,0.005691,-0.006507
0.044271,0.002620,0.038916,-0.003118,0.004797,-0.005957
0.044211,0.001477,0.035651,-0.002522,0.003872,-0.005415
0.043742,-0.000087,0.031787,-0.002003,0.002951,-0.004786
0.042287,-0.002110,0.026869,-0.001476,0.001334,-0.003896
0.040555,-0.004451,0.021048,-0.000938,-0.000152,-0.002659
0.038127,-0.007235,0.014457,-0.000296,-0.001809,-0.002011
0.035130,-0.010502,0.006958,0.000446,-0.003551,-0.001410
0.031616,-0.013823,-0.001333,0.000855,-0.005339,-0.000589
0.027203,-0.017719,-0.010055,0.001446,-0.007647,0.000808
0.022916,-0.021766,-0.018989,0.001973,-0.009509,0.001956
0.017969,-0.026125,-0.028030,0.002551,-0.011802,0.003135
0.013362,-0.030386,-0.036794,0.002828,-0.013650,0.004067
0.008554,-0.035085,-0.045087,0.003452,-0.015821,0.005292
0.004022,-0.039871,-0.052866,0.004035,-0.017828,0.006899
0.000202,-0.044229,-0.059559,0.004266,-0.019346,0.008586
-0.003675,-0.048426,-0.065349,0.004431,-0.021140,0.010320
-0.006643,-0.052360,-0.069814,0.004696,-0.022233,0.011785
-0.009360,-0.055572,-0.073013,0.004666,-0.023372,0.013003
-0.011288,-0.058457,-0.074759,0.004893,-0.023910,0.013375
-0.012713,-0.060216,-0.075369,0.004589,-0.024230,0.013385
-0.013702,-0.061619,-0.074738,0.004607,-0.024393,0.013183
-0.013795,-0.062219,-0.072978,0.004496,-0.023958,0.012690
-0.013714,-0.061753,-0.069795,0.003987,-0.023666,0.011874
-0.012745,-0.061021,-0.065813,0.003901,-0.022723,0.010937
-0.011774,-0.059340,-0.060903,0.003498,-0.022019,0.009406
-0.009967,-0.057289,-0.055280,0.003273,-0.020572,0.007393
-0.007749,-0.054518,-0.048868,0.002712,-0.018974,0.005699
-0.005206,-0.051575,-0.041825,0.002278,-0.017229,0.004175
-0.002406,-0.048520,-0.034479,0.001878,-0.015376,0.002821
0.000568,-0.045120,-0.026604,0.001248,-0.013483,0.001433
0.004050,-0.041825,-0.018732,0.000861,-0.011221,0.000344
0.007384,-0.037981,-0.010663,-0.000075,-0.009351,-0.000710
0.011056,-0.034373,-0.002440,-0.000596,-0.007374,-0.001399
0.015151,-0.030735,0.005534,-0.001148,-0.005094,-0.001918
0.018596,-0.026842,0.013236,-0.001857,-0.003658,-0.002636
0.022401,-0.023254,0.019943,-0.002175,-0.001885,-0.003171
0.025714,-0.019499,0.026261,-0.002625,-0.000679,-0.004024
0.029518,-0.015751,0.031594,-0.003006,0.001026,-0.004983
0.032493,-0.012021,0.035889,-0.003607,0.001912,-0.005780
0.035116,-0.008885,0.039102,-0.003781,0.002507,-0.006268
0.037360,-0.006323,0.041352,-0.003792,0.003027,-0.006378
0.038962,-0.004471,0.042460,-0.003552,0.003253,-0.006901
0.040109,-0.003165,0.042474,-0.003373,0.003447,-0.006830
0.040415,-0.002633,0.041474,-0.003097,0.003150,-0.006277
0.040082,-0.002963,0.039486,-0.002579,0.002658,-0.005635
0.039213,-0.003848,0.036898,-0.002156,0.001979,-0.005057
0.037575,-0.005345,0.033186,-0.001691,0.000874,-0.004275
0.035856,-0.007331,0.028911,-0.001196,-0.000068,-0.003212
0.033430,-0.009568,0.023782,-0.000820,-0.001492,-0.002382
0.030652,-0.012473,0.017714,-0.000109,-0.002993,-0.001837
0.027420,-0.015344,0.011208,0.000306,-0.004746,-0.000908
0.023741,-0.018747,0.003639,0.000966,-0.006713,0.000074
0.020051,-0.022090,-0.004103,0.001419,-0.008470,0.001282
0.015880,-0.025635,-0.012156,0.001915,-0.010484,0.002363
0.011655,-0.029282,-0.020256,0.002433,-0.012326,0.003279
0.007153,-0.032855,-0.028096,0.002896,-0.014366,0.004276
0.002470,-0.036674,-0.035892,0.003622,-0.016532,0.005491
-0.001633,-0.039884,-0.043007,0.003859,-0.018176,0.006403
-0.005781,-0.043292,-0.049567,0.004519,-0.019998,0.007172
-0.009241,-0.046147,-0.055082,0.004862,-0.021296,0.007887
-0.012626,-0.048739,-0.059662,0.005210,-0.022807,0.008660
-0.015422,-0.050932,-0.063189,0.005394,-0.023876,0.009264
-0.017668,-0.052587,-0.065427,0.005444,-0.024647,0.009752
-0.019599,-0.053845,-0.066659,0.005462,-0.025271,0.010114
-0.021010,-0.054860,-0.066770,0.005730,-0.025619,0.010101
-0.021790,-0.054975,-0.065622,0.005535,-0.025561,0.009479
-0.022057,-0.054905,-0.063549,0.005674,-0.025312,0.008846
-0.021700,-0.053725,-0.060221,0.005153,-0.024862,0.008137
-0.020408,-0.052151,-0.056355,0.004782,-0.023770,0.007468
-0.019094,-0.050214,-0.051481,0.004581,-0.023012,0.006426
